nombre,lat,lon,paginas,nota,categoria,seguridad
Waterford,52.2593,-7.1101,"2–19, 26–30, 35, 53–54, 56, 63–66, 68–71, 73, 75–77, 80, 82, 86–88, 90–92, 94, 96–98, 100",Puerto y referencia más frecuente.,Puerto/ciudad,Alta
London,51.5074,-0.1278,"2, 11, 18–19, 26–27, 29, 31, 33, 35–36, 38, 43, 80, 93",Londres.,Puerto/ciudad,Alta
Bordeaux,44.8378,-0.5792,"2, 98–99",Bourdeaux / Bordeaux.,Puerto/ciudad,Alta
Blaye,45.127,-0.662,98–99,Aparece en el entorno de Burdeos.,Puerto/ciudad,Alta
Lisbon,38.7223,-9.1393,"6, 13, 18, 76, 78–83, 100",Lisboa.,Puerto/ciudad,Alta
Cádiz,36.5271,-6.2886,"7–10, 22–23, 68–69, 71, 73–75, 100",Cadiz / Cadize / Cadix.,Puerto/ciudad,Alta
Sevilla,37.3891,-5.9845,"7–8, 68, 74",Seville / Siville.,Puerto/ciudad,Alta
Sanlúcar de Barrameda,36.7781,-6.3515,"8, 19, 21–23, 68–69, 71",St. Lucar / St. Lucas; identificación probable.,Puerto/ciudad,Media
El Puerto de Santa María,36.6,-6.2333,23,Port St. Maria; identificación probable.,Puerto/ciudad,Media
Cork,51.8985,-8.4756,"7–9, 12, 39, 66–68, 71, 98–100",Cork / Corke.,Puerto/ciudad,Alta
Cobh (The Cove),51.8492,-8.2943,66,“Cove”; identificación probable con Cobh / The Cove of Cork.,Puerto/ciudad,Media
Dublin,53.3498,-6.2603,"19, 25–26, 54, 56–57, 72",Dublín.,Puerto/ciudad,Alta
Dungarvan,52.0894,-7.6253,"27, 29, 37–41, 76",Irlanda.,Puerto/ciudad,Alta
Wicklow,52.9808,-6.0448,56,Irlanda.,Puerto/ciudad,Alta
Ringsend,53.3419,-6.2128,57,Rings End.,Puerto/ciudad,Alta
Ballyhack,52.2501,-6.9726,30,Irlanda.,Puerto/ciudad,Alta
Passage East,52.2374,-6.9713,"28, 64, 67, 73, 75, 82–83, 96",Passage; localización probable en el área de Waterford.,Puerto/ciudad,Media
Dover,51.129,1.308,"26–30, 33, 35",Inglaterra.,Puerto/ciudad,Alta
Deptford,51.4797,-0.0267,"28, 33, 36",Área portuaria de Londres.,Puerto/ciudad,Alta
Gravesend,51.4419,0.3708,"26, 38, 43",Graves End / Gravesend.,Puerto/ciudad,Alta
Portsmouth,50.8198,-1.088,39,Inglaterra.,Puerto/ciudad,Alta
Exeter,50.7184,-3.5339,14,Inglaterra.,Puerto/ciudad,Alta
Topsham,50.6859,-3.4666,14,Inglaterra.,Puerto/ciudad,Alta
Devon,50.7156,-3.5309,13,Condado/región.,Región,Media
Isles of Scilly,49.9139,-6.3188,8,Scilly.,Puerto/ciudad,Alta
Livorno (Leghorn),43.5485,10.3106,13,Leghorn.,Puerto/ciudad,Alta
Newfoundland (centro aproximado),48.7,-56.0,"3–5, 9–17, 92, 94, 96–97",Referencia regional a Terranova.,Región,Media
Placentia,47.2442,-53.9655,3,Terranova.,Puerto/ciudad,Alta
Trepassey,46.7398,-53.364,3,Terranova.,Puerto/ciudad,Alta
Bay Bulls,47.315,-52.7923,4–5,Baybulls / Bay bulls.,Puerto/ciudad,Alta
Ferryland,47.0236,-52.8878,"9–10, 18",Terranova.,Puerto/ciudad,Alta
Harbour Grace,47.6876,-53.2143,"15–18, 34, 43",Terranova.,Puerto/ciudad,Alta
St. John’s,47.5615,-52.7126,"18, 48, 50",St. Johns / St. Johns Nf.,Puerto/ciudad,Alta
Grand Banks (aprox.),45.25,-50.0,"4, 9–10",Banks; bancos pesqueros de Terranova.,Mar/área marítima,Media
New England (aprox.),43.9,-71.4,43,Referencia regional.,Región,Media
Spain (aprox.),40.2,-3.7,"4, 10, 15",Referencia general al país.,Región,Baja
Portugal (aprox.),39.6,-8.0,"4, 10, 15",Referencia general al país.,Región,Baja
England (aprox.),52.5,-1.2,"5, 12",Referencia general al país.,Región,Baja
West of England (aprox.),50.9,-3.5,5,Referencia regional.,Región,Baja
Mediterranean (aprox.),36.0,18.0,6,Referencia amplia al Mediterráneo.,Mar/área marítima,Baja
Málaga,36.7213,-4.4214,"66, 69, 73–74",Aparece a menudo en contexto comercial (“Malaga wine”).,Puerto/ciudad,Media
"St. Martin (aprox., área de Blaye)",45.12,-0.66,98,Aparece junto con Blaye; localización aproximada.,Puerto/ciudad,Baja
